"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2007","FI1C","Million euro","36,522.26",""
"2007","FI1D","Million euro","36,830.68",""
"2007","FI20","Million euro","1,098.1",""
"2007","FIZZ","Million euro","71.74",""
"2007","SE11","Million euro","104,220.41",""
"2007","SE12","Million euro","51,771.7",""
"2007","SE21","Million euro","27,328.98",""
"2007","SE22","Million euro","47,928.75",""
"2007","SE23","Million euro","68,812.12",""
"2007","SE31","Million euro","26,691.67",""
"2007","SE32","Million euro","12,178.04",""
"2007","SE33","Million euro","17,834.24",""
"2007","SEZZ","Million euro","93.27",""
"2007","UKC1","Million euro","29,674.95",""
"2007","UKC2","Million euro","40,618.5",""
"2007","UKD1","Million euro","14,863.44",""
"2007","UKD3","Million euro","83,967.62",""
"2007","UKD4","Million euro","41,957.04",""
"2007","UKD6","Million euro","37,159.4",""
"2007","UKD7","Million euro","41,499.5",""
"2007","UKE1","Million euro","27,330.48",""
"2007","UKE2","Million euro","26,095.79",""
"2007","UKE3","Million euro","34,829.53",""
"2007","UKE4","Million euro","70,006.28",""
"2007","UKF1","Million euro","58,402.38",""
"2007","UKF2","Million euro","53,048.24",""
"2007","UKF3","Million euro","17,470.74",""
"2007","UKG1","Million euro","39,114.47",""
"2007","UKG2","Million euro","41,460.56",""
"2007","UKG3","Million euro","79,515.57",""
"2007","UKH1","Million euro","75,165.73",""
"2007","UKH2","Million euro","64,178.37",""
"2007","UKH3","Million euro","50,137.53",""
"2007","UKI3","Million euro","200,032.54",""
"2007","UKI4","Million euro","113,817.8",""
"2007","UKI5","Million euro","46,563.23",""
"2007","UKI6","Million euro","43,055.45",""
"2007","UKI7","Million euro","81,765.93",""
"2007","UKJ1","Million euro","107,775.73",""
"2007","UKJ2","Million euro","100,979.21",""
"2007","UKJ3","Million euro","67,444.4",""
"2007","UKJ4","Million euro","49,978.52",""
"2007","UKK1","Million euro","84,764.25",""
"2007","UKK2","Million euro","36,138.87",""
"2007","UKK3","Million euro","12,543.31",""
"2007","UKK4","Million euro","30,833.39",""
"2007","UKL1","Million euro","43,366.97",""
"2007","UKL2","Million euro","35,337.37",""
"2007","UKM5","Million euro","24,358.12",""
"2007","UKM6","Million euro","14,709.3",""
"2007","UKM7","Million euro","69,926.78",""
"2007","UKM8","Million euro","46,219.27",""
"2007","UKM9","Million euro","19,386.88",""
"2007","UKN0","Million euro","51,557.19",""
"2007","UKZZ","Million euro","45,403.16",""
"2007","NO01","Million euro",":",""
"2007","NO02","Million euro",":",""
"2007","NO03","Million euro",":",""
"2007","NO04","Million euro",":",""
"2007","NO05","Million euro",":",""
"2007","NO06","Million euro",":",""
"2007","NO07","Million euro",":",""
"2007","NOZZ","Million euro",":",""
"2007","ME00","Million euro","2,689.1",""
"2007","MK00","Million euro","6,094.5",""
"2007","AL01","Million euro",":",""
"2007","AL02","Million euro",":",""
"2007","AL03","Million euro",":",""
"2007","RS11","Million euro",":",""
"2007","RS12","Million euro",":",""
"2007","RS21","Million euro",":",""
"2007","RS22","Million euro",":",""
"2007","RSZZ","Million euro",":",""
"2007","TR10","Million euro","149,206.04",""
"2007","TR21","Million euro","11,246.29",""
"2007","TR22","Million euro","10,131.38",""
"2007","TR31","Million euro","31,477.41",""
"2007","TR32","Million euro","16,606.09",""
"2007","TR33","Million euro","15,893.99",""
"2007","TR41","Million euro","27,451.61",""
"2007","TR42","Million euro","26,434.19",""
"2007","TR51","Million euro","49,839.03",""
"2007","TR52","Million euro","11,341.56",""
"2007","TR61","Million euro","20,231.09",""
"2007","TR62","Million euro","18,750.82",""
"2007","TR63","Million euro","11,424.7",""
"2007","TR71","Million euro","6,589.56",""
"2007","TR72","Million euro","11,906.25",""
"2007","TR81","Million euro","4,680.88",""
"2007","TR82","Million euro","3,596.17",""
"2007","TR83","Million euro","11,987.57",""
"2007","TR90","Million euro","11,866.15",""
"2007","TRA1","Million euro","4,224.48",""
"2007","TRA2","Million euro","3,053.18",""
"2007","TRB1","Million euro","6,436.54",""
"2007","TRB2","Million euro","5,022.42",""
"2007","TRC1","Million euro","9,280.49",""
"2007","TRC2","Million euro","8,629.77",""
"2007","TRC3","Million euro","5,533.55",""
"2008","BE10","Million euro","64,674.97",""
"2008","BE21","Million euro","67,567.61",""
"2008","BE22","Million euro","22,807.79",""
"2008","BE23","Million euro","41,529.09",""
"2008","BE24","Million euro","36,732.02",""
"2008","BE25","Million euro","35,911.88",""
"2008","BE31","Million euro","13,576.09",""
"2008","BE32","Million euro","28,572.2",""
"2008","BE33","Million euro","25,741.32",""
"2008","BE34","Million euro","5,878.45",""
"2008","BE35","Million euro","10,888.95",""
"2008","BEZZ","Million euro","185.52",""
"2008","BG31","Million euro","2,935.74",""
"2008","BG32","Million euro","3,119.65",""
"2008","BG33","Million euro","4,186.04",""
"2008","BG34","Million euro","4,516.5",""
"2008","BG41","Million euro","17,204.52",""
"2008","BG42","Million euro","5,237.6",""
"2008","CZ01","Million euro","41,263.38",""
"2008","CZ02","Million euro","17,647.62",""
"2008","CZ03","Million euro","15,772.14",""
"2008","CZ04","Million euro","13,654.6",""
"2008","CZ05","Million euro","18,885",""
"2008","CZ06","Million euro","22,865.2",""
"2008","CZ07","Million euro","15,044.44",""
"2008","CZ08","Million euro","16,180.73",""
"2008","DK01","Million euro","87,990.84",""
"2008","DK02","Million euro","24,256.99",""
"2008","DK03","Million euro","47,190.59",""
"2008","DK04","Million euro","49,903.06",""
"2008","DK05","Million euro","21,888.78",""
"2008","DKZZ","Million euro","10,383.37",""
"2008","DE11","Million euro","157,437.08",""
"2008","DE12","Million euro","97,800.5",""
"2008","DE13","Million euro","66,165.91",""
"2008","DE14","Million euro","60,082.13",""
"2008","DE21","Million euro","188,196.76",""
"2008","DE22","Million euro","34,482.74",""
"2008","DE23","Million euro","33,334.86",""
"2008","DE24","Million euro","29,280.07",""
"2008","DE25","Million euro","56,720.2",""
"2008","DE26","Million euro","40,614.07",""
"2008","DE27","Million euro","54,304.38",""
"2008","DE30","Million euro","99,302.09",""
"2008","DE40","Million euro","54,883.55",""
"2008","DE50","Million euro","27,652.41",""
"2008","DE60","Million euro","95,144.79",""
"2008","DE71","Million euro","165,387.01",""
"2008","DE72","Million euro","29,840.92",""
"2008","DE73","Million euro","35,340.76",""
"2008","DE80","Million euro","34,451.75",""
"2008","DE91","Million euro","49,593.4",""
"2008","DE92","Million euro","65,267.6",""
"2008","DE93","Million euro","36,387.42",""
"2008","DE94","Million euro","67,974.32",""
"2008","DEA1","Million euro","186,284.87",""
"2008","DEA2","Million euro","149,094.8",""
"2008","DEA3","Million euro","72,043.16",""
"2008","DEA4","Million euro","61,550.58",""
"2008","DEA5","Million euro","103,415.69",""
"2008","DEB1","Million euro","39,645.94",""
"2008","DEB2","Million euro","12,657.74",""
"2008","DEB3","Million euro","59,036.08",""
"2008","DEC0","Million euro","31,729.8",""
"2008","DED2","Million euro","37,382.45",""
"2008","DED4","Million euro","33,138.42",""
"2008","DED5","Million euro","23,460.6",""
"2008","DEE0","Million euro","50,869.32",""
"2008","DEF0","Million euro","74,363.17",""
"2008","DEG0","Million euro","47,422.72",""
"2008","EE00","Million euro","16,517.27",""
"2008","IE04","Million euro","22,634.47",""
"2008","IE05","Million euro","59,747.44",""
"2008","IE06","Million euro","105,387.12",""
"2008","EL51","Million euro","9,450.34",""
"2008","EL52","Million euro","33,304.45",""
"2008","EL53","Million euro","4,801.57",""
"2008","EL54","Million euro","5,157.9",""
"2008","EL61","Million euro","12,186.27",""
"2008","EL62","Million euro","4,522.18",""
"2008","EL63","Million euro","11,364.73",""
"2008","EL64","Million euro","10,879.47",""
"2008","EL65","Million euro","10,102.45",""
