Year,Country,NUTS2_Code,Econ_Freedom,Pop,GDP_Millions_Euro,Total_Household_Income,Tourism_NightStays,Flight_Arrivals,Year_PostBudget,Tourism_Employed
2009,SK,SK04,69.4,1591969,"12,692.69","9,017.97","1,759,662",172,0,
2010,SK,SK04,69.7,1599362,"13,482.42","9,016.69","1,774,670",131,0,
2011,SK,SK04,69.5,1604443,"14,268.81","9,262.61","1,723,915",133,0,
2012,SK,SK04,67,1608797,"14,851.68","9,517.87","1,775,677",117,0,
2013,SK,SK04,68.7,1611407,"15,073.69","10,056.61","1,914,607",118,0,
2014,SK,SK04,66.4,1613672,"15,619.46","10,234.80","1,799,514",177,0,
2015,SK,SK04,67.2,1615542,"16,496.62","10,520.22","1,988,289",209,1,
2016,SK,SK04,66.6,1617347,"16,805.35","11,024.24","2,307,027",218,1,
2017,SK,SK04,65.7,1620413,"18,045.41","11,355.38","2,423,342",247,1,
2007,UK,UKC1,79.9,1157100,"29,674.95",:,"1,236,297",363,0,
2008,UK,UKC1,79.4,1161826,"25,978.50","23,604.59","1,837,613",322,0,
2009,UK,UKC1,79,1165178,"23,336.03","20,552.19","1,122,696",144,0,
2010,UK,UKC1,76.5,1168781,"24,700.24","18,316.45","1,045,375",112,0,
2011,UK,UKC1,74.5,1173646,"24,685.07","19,666.57","1,189,697",96,0,
2012,UK,UKC1,74.1,1177121,"26,933.67","19,343.26","1,616,000",82,0,
2013,UK,UKC1,74.8,1179963,"26,387.08","20,990.37","1,551,000",80,0,
2014,UK,UKC1,74.9,1183175,"28,560.19","20,407.59",:,72,0,
2015,UK,UKC1,75.8,1186123,"32,858.24","22,256.35",:,71,0,
2016,UK,UKC1,76.4,1190177,"29,116.32","25,392.75","1,266,100",66,0,
2017,UK,UKC1,76.4,1194437,"28,038.89","22,416.43",:,64,0,
2007,UK,UKC2,79.9,1400142,"40,618.50",:,"3,810,951","2,810",0,
2008,UK,UKC2,79.4,1403818,"35,505.34","29,751.96","3,402,604","2,506",0,
2009,UK,UKC2,79,1407170,"30,824.26","25,913.09","3,860,749","2,286",0,
2010,UK,UKC2,76.5,1412315,"32,699.79","23,305.67","3,428,781","2,171",0,
2011,UK,UKC2,74.5,1417980,"33,878.73","24,884.93","2,422,027","2,164",0,
2012,UK,UKC2,74.1,1422315,"37,145.18","24,534.74","4,951,000","2,178",0,
2013,UK,UKC2,74.8,1426640,"36,023.84","26,882.21","4,206,000","2,206",0,
2014,UK,UKC2,74.9,1431607,"39,678.75","26,166.76",:,"2,256",0,
2015,UK,UKC2,75.8,1435643,"45,344.86","28,540.21",:,"2,279",0,
2016,UK,UKC2,76.4,1440477,"41,539.41","32,591.03","4,299,670","2,401",0,
2017,UK,UKC2,76.4,1446249,"40,356.01","29,197.43",:,"2,653",0,
2007,UK,UKD1,79.9,499778,"14,863.44",:,"7,358,727",:,0,
2008,UK,UKD1,79.4,500819,"13,434.71","11,765.05","5,723,720",:,0,
2009,UK,UKD1,79,500823,"11,721.62","10,149.83","7,729,857",:,0,
2010,UK,UKD1,76.5,500458,"12,526.16","9,149.31","5,549,514",:,0,
2011,UK,UKD1,74.5,499952,"12,511.59","9,794.44","5,069,076",:,0,
2012,UK,UKD1,74.1,499524,"13,906.86","9,585.65","8,715,000",:,0,
2013,UK,UKD1,74.8,498860,"13,872.46","10,434.32","7,078,000",:,0,
2014,UK,UKD1,74.9,498463,"15,244.06","10,278.54",:,:,0,
2015,UK,UKD1,75.8,498545,"17,960.42","11,084.51",:,:,0,
2016,UK,UKD1,76.4,498745,"15,781.72","12,817.92","8,292,230",:,0,
2017,UK,UKD1,76.4,498641,"14,862.26","11,501.86",:,:,0,
2007,UK,UKD3,79.9,2590604,"83,967.62",:,"3,616,468","10,970",0,
2008,UK,UKD3,79.4,2609479,"72,798.08","58,718.20","3,519,534","10,563",0,
2009,UK,UKD3,79,2630100,"64,829.41","50,900.34","3,663,365","9,349",0,
2010,UK,UKD3,76.5,2651011,"69,095.16","45,118.68","2,355,864","8,845",0,
2011,UK,UKD3,74.5,2673791,"69,038.95","48,156.11","2,527,669","9,424",0,
2012,UK,UKD3,74.1,2693358,"76,971.86","48,033.73","3,789,000","9,850",0,
2013,UK,UKD3,74.8,2707445,"76,353.25","51,981.03","3,412,000","10,372",0,
2014,UK,UKD3,74.9,2721819,"82,462.75","51,046.06",:,"11,001",0,
2015,UK,UKD3,75.8,2741974,"95,178.67","55,794.57",:,"11,566",0,
2016,UK,UKD3,76.4,2767348,"87,834.81","64,545.10","3,550,190","12,823",0,
2017,UK,UKD3,76.4,2789735,"85,326.92","58,375.56",:,"13,919",0,
2007,UK,UKD4,79.9,1447726,"41,957.04",:,"6,227,771",276,0,
2008,UK,UKD4,79.4,1450334,"35,896.68","31,701.86","5,069,641",218,0,
2009,UK,UKD4,79,1452056,"30,651.72","27,483.05","5,728,878",138,0,
2010,UK,UKD4,76.5,1455120,"32,993.62","24,335.10","4,860,240",116,0,
2011,UK,UKD4,74.5,1459318,"33,514.80","25,943.45","3,457,285",117,0,
2012,UK,UKD4,74.1,1463274,"36,873.44","25,467.04","4,526,000",117,0,
2013,UK,UKD4,74.8,1466592,"36,197.86","27,070.96","5,167,000",131,0,
2014,UK,UKD4,74.9,1469371,"39,306.23","26,024.91",:,110,0,
2015,UK,UKD4,75.8,1473818,"46,589.05","28,351.85",:,17,0,
2016,UK,UKD4,76.4,1480296,"43,551.30","32,940.34","4,246,790",18,0,
2017,UK,UKD4,76.4,1487102,"41,972.25","29,675.71",:,12,0,
2007,UK,UKD7,79.9,1489503,"41,499.50",:,"1,515,371","2,732",0,
2008,UK,UKD7,79.4,1490636,"36,934.71","30,668.46","1,505,703","2,666",0,
2009,UK,UKD7,79,1493563,"33,737.72","26,592.60","1,500,813","2,442",0,
2010,UK,UKD7,76.5,1498042,"35,770.17","24,039.86","1,266,183","2,501",0,
2011,UK,UKD7,74.5,1503567,"35,755.15","25,638.81","1,990,064","2,631",0,
2012,UK,UKD7,74.1,1509368,"38,004.53","25,243.79","2,077,000","2,235",0,
2013,UK,UKD7,74.8,1513266,"36,788.46","27,499.54","2,427,000","2,098",0,
2014,UK,UKD7,74.9,1517171,"40,740.71","26,949.60",:,"1,994",0,
2015,UK,UKD7,75.8,1524173,"47,032.07","29,148.42",:,"2,153",0,
2016,UK,UKD7,76.4,1533376,"41,744.70","33,774.21","2,079,670","2,391",0,
2017,UK,UKD7,76.4,1541473,"41,153.85","30,412.95",:,"2,459",0,
2007,UK,UKE1,79.9,905900,"27,330.48",:,"1,465,567",233,0,
2008,UK,UKE1,79.4,910195,"23,555.50","19,779.29","1,275,787",211,0,
2009,UK,UKE1,79,912723,"21,806.58","17,116.48","2,129,803",167,0,
2010,UK,UKE1,76.5,914144,"22,054.43","14,940.94","1,707,975",141,0,
2011,UK,UKE1,74.5,916612,"21,769.78","15,813.56","1,673,427",136,0,
2012,UK,UKE1,74.1,919564,"23,321.09","15,932.99","2,431,000",116,0,
2013,UK,UKE1,74.8,921510,"22,230.48","16,972.97","1,680,000",117,0,
2014,UK,UKE1,74.9,922928,"24,142.80","16,529.79",:,118,0,
2015,UK,UKE1,75.8,924558,"28,685.74","17,832.26",:,111,0,
2016,UK,UKE1,76.4,926818,"25,682.41","20,376.79","2,093,910",100,0,
2017,UK,UKE1,76.4,929189,"23,912.20","18,583.83",:,95,0,
2007,UK,UKE3,79.9,1303030,"34,829.53",:,"727,710",531,0,
2008,UK,UKE3,79.4,1310906,"29,211.93","27,399.84","1,043,523",486,0,
2009,UK,UKE3,79,1319708,"25,441.01","23,751.68","1,179,359",421,0,
2010,UK,UKE3,76.5,1328405,"27,395.23","21,042.23","931,564",440,0,
2011,UK,UKE3,74.5,1338373,"27,826.19","22,278.76","742,328",412,0,
2012,UK,UKE3,74.1,1348096,"30,686.95","22,210","1,463,000",349,0,
2013,UK,UKE3,74.8,1355465,"30,215.42","24,128.30","1,232,000",347,1,
2014,UK,UKE3,74.9,1362340,"32,808.01","23,789.25",:,366,1,
2015,UK,UKE3,75.8,1370817,"38,040.29","26,168.75",:,432,1,
2016,UK,UKE3,76.4,1380458,"34,701.71","29,511.98","1,717,630",631,1,
2017,UK,UKE3,76.4,1389426,"33,392.54","27,065.56",:,672,1,
2007,UK,UKE4,79.9,2161542,"70,006.28",:,"2,439,125","1,430",0,
2008,UK,UKE4,79.4,2176960,"59,554.88","49,255.04","2,191,766","1,427",0,
2009,UK,UKE4,79,2191368,"52,242.63","42,617","2,068,154","1,275",0,
2010,UK,UKE4,76.5,2205139,"55,044.17","37,187.25","1,793,663","1,355",0,
2011,UK,UKE4,74.5,2220015,"56,464.12","39,269.67","1,817,875","1,450",0,
2012,UK,UKE4,74.1,2233863,"61,651.15","39,187.48","2,628,000","1,484",0,
2013,UK,UKE4,74.8,2245499,"60,554.75","42,314.75","3,490,000","1,658",0,
2014,UK,UKE4,74.9,2256217,"65,838.43","41,522.40",:,"1,633",0,
2015,UK,UKE4,75.8,2269744,"77,079.32","45,305.14",:,"1,716",0,
2016,UK,UKE4,76.4,2286357,"70,429.90","52,354.99","3,032,560","1,802",0,
2017,UK,UKE4,76.4,2301000,"68,132.80","47,747.80",:,"2,034",0,
2007,UK,UKF2,79.9,1645620,"53,048.24",:,"1,637,499","2,708",0,
2008,UK,UKF2,79.4,1662694,"46,569.79","43,145.05","2,051,549","2,810",0,
2009,UK,UKF2,79,1676611,"40,311.49","37,037.32","1,457,727","2,334",0,
2010,UK,UKF2,76.5,1689857,"43,914.70","32,475.87","1,299,738","2,059",0,
2011,UK,UKF2,74.5,1704627,"44,182.24","34,415.82","2,228,272","2,109",0,
2012,UK,UKF2,74.1,1719017,"48,784.34","35,037.66","2,519,000","2,040",0,
2013,UK,UKF2,74.8,1732295,"48,890.44","37,922.10","1,923,000","2,174",0,
2014,UK,UKF2,74.9,1747794,"54,124.95","37,025.47",:,"2,259",0,
2015,UK,UKF2,75.8,1767307,"62,266.40","40,569.25",:,"2,224",0,
2016,UK,UKF2,76.4,1789613,"58,154.62","47,240.91","2,544,420","2,325",0,
2017,UK,UKF2,76.4,1812852,"56,718.88","43,039.71",:,"2,435",0,
2007,UK,UKF3,79.9,689602,"17,470.74",:,"3,627,014",:,0,
2008,UK,UKF3,79.4,697281,"15,692.57","16,174.15","4,041,066",:,0,
2009,UK,UKF3,79,703231,"13,350.89","14,285.37","4,681,842",:,0,
2010,UK,UKF3,76.5,708733,"14,580.41","12,501.07","4,313,966",:,0,
2011,UK,UKF3,74.5,713322,"14,861.63","13,390.81","4,061,681",:,0,
2012,UK,UKF3,74.1,716973,"16,431.11","13,479.86","4,911,000",:,0,
2013,UK,UKF3,74.8,721847,"16,567.07","14,309.25","4,024,000",:,0,
2014,UK,UKF3,74.9,728205,"18,146.36","14,059.78",:,:,0,
2015,UK,UKF3,75.8,734643,"20,302.15","15,483.53",:,:,0,
2016,UK,UKF3,76.4,741087,"17,985.22","17,282.85","3,990,530",:,0,
2017,UK,UKF3,76.4,747996,"17,386.83","15,372.98",:,:,0,
2007,UK,UKG1,79.9,1267120,"39,114.47",:,"2,777,537",298,0,
2008,UK,UKG1,79.4,1277162,"34,706","34,649.93","2,966,856",167,0,
2009,UK,UKG1,79,1284388,"29,577.04","30,368.32","2,978,832",0,0,
2010,UK,UKG1,76.5,1288952,"32,189.79","26,650.27","2,601,049",:,0,
2011,UK,UKG1,74.5,1293901,"33,929.06","27,955.99","2,316,526",0,0,
2012,UK,UKG1,74.1,1299764,"38,291.44","27,888.45","3,533,000",0,0,
2013,UK,UKG1,74.8,1305682,"38,640.67","30,462.76","3,325,000",0,0,
2014,UK,UKG1,74.9,1312357,"43,302.46","30,208.59",:,0,0,
2015,UK,UKG1,75.8,1319504,"49,782.87","33,066.18",:,0,0,
2016,UK,UKG1,76.4,1327386,"44,966.47","38,684.51","3,428,150",0,0,
2017,UK,UKG1,76.4,1338055,"43,910.97","35,410.86",:,:,0,
2007,UK,UKG3,79.9,2633824,"79,515.57",:,"3,342,124","4,575",0,
2008,UK,UKG3,79.4,2653874,"68,043.68","52,754.60","3,320,262","4,796",0,
2009,UK,UKG3,79,2676535,"59,006.19","45,720.31","3,091,907","4,566",0,
2010,UK,UKG3,76.5,2699492,"64,088.32","40,283.50","2,544,296","4,284",0,
2011,UK,UKG3,74.5,2725810,"65,417.75","43,581.74","2,636,398","4,310",0,
2012,UK,UKG3,74.1,2750805,"71,770.24","43,737.67","3,866,000","4,464",0,
2013,UK,UKG3,74.8,2771841,"72,051.64","47,438.15","3,245,000","4,562",0,
2014,UK,UKG3,74.9,2793881,"80,063.62","46,549.41",:,"4,850",0,
2015,UK,UKG3,75.8,2820216,"92,298.21","51,619.99",:,"5,095",0,
2016,UK,UKG3,76.4,2852553,"87,843.03","59,440.99","3,888,830","5,838",0,
2017,UK,UKG3,76.4,2883905,"85,637.83","54,373.49",:,"6,491",0,
2007,UK,UKH1,79.9,2300885,"75,165.73",:,"9,611,951",350,0,
2008,UK,UKH1,79.4,2321845,"66,005.09","57,719.94","8,207,831",292,0,
2009,UK,UKH1,79,2341273,"57,421.29","51,478.75","8,628,015",216,0,
2010,UK,UKH1,76.5,2361712,"61,723.41","45,791.34","7,628,853",212,0,
2011,UK,UKH1,74.5,2385006,"63,190.31","48,727.25","6,830,610",208,0,
2012,UK,UKH1,74.1,2403234,"70,766.06","48,707.89","10,536,000",200,0,
2013,UK,UKH1,74.8,2416785,"70,125.60","53,387.72","8,559,000",236,0,
2014,UK,UKH1,74.9,2434456,"76,944.47","52,392.33",:,240,0,
2015,UK,UKH1,75.8,2456564,"88,002.22","57,540.74",:,233,0,
2016,UK,UKH1,76.4,2475882,"80,805.51","67,202.85","9,843,090",255,0,
2017,UK,UKH1,76.4,2493326,"78,207.99","61,514.74",:,263,0,
2007,UK,UKH2,79.9,1654898,"64,178.37",:,"1,689,337","4,973",0,
2008,UK,UKH2,79.4,1671667,"58,047.79","53,091.28","1,205,261","5,104",0,
2009,UK,UKH2,79,1688942,"49,701.36","46,902.50","1,270,787","4,571",0,
2010,UK,UKH2,76.5,1706697,"51,558.28","42,612.09","1,015,592","4,377",0,
2011,UK,UKH2,74.5,1726575,"51,687.91","44,467.74","1,158,866","4,788",0,
2012,UK,UKH2,74.1,1745325,"56,238.48","44,380.79","1,686,000","4,830",0,
2013,UK,UKH2,74.8,1763546,"57,277.46","49,116.23","1,200,000","4,860",0,
2014,UK,UKH2,74.9,1784776,"64,234.37","49,594.89",:,"5,270",0,
2015,UK,UKH2,75.8,1806939,"74,289.93","54,520.73",:,"6,138",0,
2016,UK,UKH2,76.4,1827766,"68,624.67","64,087.23","1,858,990","7,336",0,
2017,UK,UKH2,76.4,1841673,"67,166.65","58,635.26",:,"8,023",0,
2007,UK,UKH3,79.9,1674214,"50,137.53",:,"1,616,057","11,952",0,
2008,UK,UKH3,79.4,1687563,"43,999.69","46,960.49","2,170,714","11,254",0,
2009,UK,UKH3,79,1699785,"38,053.68","41,738.16","2,046,324","10,041",0,
2010,UK,UKH3,76.5,1711120,"41,112.26","37,493.30","1,785,626","9,363",0,
2011,UK,UKH3,74.5,1723421,"41,343.10","39,208.54","1,291,598","9,110",0,
2012,UK,UKH3,74.1,1735578,"45,188.31","39,218.41","1,718,000","9,092",0,
2013,UK,UKH3,74.8,1748546,"44,169.61","42,615.87","1,623,000","9,439",0,
2014,UK,UKH3,74.9,1765271,"49,354.50","42,068.43",:,"10,478",0,
2015,UK,UKH3,75.8,1782982,"57,022.61","45,563.88",:,"11,655",0,
2016,UK,UKH3,76.4,1798750,"51,612.55","53,764.96","1,065,770","12,538",0,
2017,UK,UKH3,76.4,1813609,"50,942.54","49,532.92",:,"13,438",0,
2007,UK,UKI3,79.9,1069622,"200,032.54",:,3547676,:,0,
2008,UK,UKI3,79.4,1070507,"176,033.47","76,844.79",3906588,:,0,
2009,UK,UKI3,79,1074595,"158,086.02","68,932.45",3772334.5,:,0,
2010,UK,UKI3,76.5,1081014,"170,954.84","61,184.85",3896406,:,0,
2011,UK,UKI3,74.5,1089392,"177,683.96","62,913.28",3525491,:,0,
2012,UK,UKI3,74.1,1099576,"199,282.39","60,694.13",4178000,:,0,
2013,UK,UKI3,74.8,1108567,"200,493.52","68,975.82",4350500,:,0,
2014,UK,UKI3,74.9,1120811,"227,954.75","73,099.98",:,:,0,
2015,UK,UKI3,75.8,1138443,"259,897.44","81,659.18",:,:,0,
2016,UK,UKI3,76.4,1153642,"251,230.54","96,689.76","3,574,190",:,0,
2017,UK,UKI3,76.4,1163136,"245,189.95","87,493.50",:,:,0,
2007,UK,UKI4,79.9,1940802,"113,817.80",:,3547676,"1,467",0,
2008,UK,UKI4,79.4,1984546,"102,161.28","65,626.49",3906588,"1,642",0,
2009,UK,UKI4,79,2032253,"92,191.78","58,066.16",3772334.5,"1,410",0,
2010,UK,UKI4,76.5,2076113,"99,735.52","52,071.38",3896406,"1,404",0,
2011,UK,UKI4,74.5,2121080,"106,622.76","57,387.08",3525491,"1,490",0,
2012,UK,UKI4,74.1,2165178,"117,048.21","58,040.88",4178000,"1,541",0,
2013,UK,UKI4,74.8,2205293,"115,411.82","65,147.36",4350500,"1,731",0,
2014,UK,UKI4,74.9,2248524,"128,910.77","65,916.36",:,"1,868",0,
2015,UK,UKI4,75.8,2294960,"147,190.57","73,769.14",:,"2,199",0,
2016,UK,UKI4,76.4,2337518,"136,148.96","88,739.57","4,117,220","2,296",0,
2017,UK,UKI4,76.4,2367065,"134,081.49","81,021.29",:,"2,310",0,
2007,UK,UKI5,79.9,1636886,"46,563.23",:,555747.72,:,0,
2008,UK,UKI5,79.4,1661514,"40,320.80","46,938.46",828498.99,:,0,
2009,UK,UKI5,79,1689986,"33,151.08","42,032.83",654832.86,:,0,
2010,UK,UKI5,76.5,1720016,"36,001.87","36,795.11",708146.01,:,0,
2011,UK,UKI5,74.5,1752126,"36,575.92","39,680.23",669457.8,:,0,
2012,UK,UKI5,74.1,1778692,"41,785.40","39,786.36",802560,:,0,
2013,UK,UKI5,74.8,1800748,"41,633.20","44,391.42",905520,:,0,
2014,UK,UKI5,74.9,1826033,"45,702.98","43,882.58",:,:,0,
2015,UK,UKI5,75.8,1853173,"51,902.31","48,620.88",:,:,0,
2016,UK,UKI5,76.4,1880090,"47,476.54","58,101.69","2,551,870",:,0,
2017,UK,UKI5,76.4,1899556,"46,196.59","54,017.22",:,:,0,
2007,UK,UKI6,79.9,1175104,"43,055.45",:,555747.72,:,0,
2008,UK,UKI6,79.4,1185864,"36,906.95","42,559.56",828498.99,:,0,
2009,UK,UKI6,79,1197733,"30,705.95","37,123.53",654832.86,:,0,
2010,UK,UKI6,76.5,1208538,"32,297.22","31,973.07",708146.01,:,0,
2011,UK,UKI6,74.5,1220637,"32,468.19","34,449.36",669457.8,:,0,
2012,UK,UKI6,74.1,1234689,"36,612.74","34,831.75",802560,:,0,
2013,UK,UKI6,74.8,1249370,"35,578.26","38,917.49",905520,0,0,
2014,UK,UKI6,74.9,1263221,"39,616.20","39,122.04",:,0,0,
2015,UK,UKI6,75.8,1276233,"43,591.27","42,569.94",:,0,0,
2016,UK,UKI6,76.4,1288011,"40,172.14","50,617.48","1,935,010",0,0,
2017,UK,UKI6,76.4,1295666,"38,917.06","46,586.43",:,1,0,
2007,UK,UKI7,79.9,1823786,"81,765.93",:,555747.72,"34,049",0,
2008,UK,UKI7,79.4,1850927,"71,442.26","64,808.39",828498.99,"33,537",0,
2009,UK,UKI7,79,1883357,"59,374.69","57,745.30",654832.86,"33,064",0,
2010,UK,UKI7,76.5,1916940,"63,226.24","50,804.21",708146.01,"33,006",0,
2011,UK,UKI7,74.5,1950290,"65,488.73","54,508.17",669457.8,"34,857",0,
2012,UK,UKI7,74.1,1978433,"74,322.08","55,161.50",802560,"35,200",0,
2013,UK,UKI7,74.8,1999117,"75,165.46","62,850.68",905520,"36,440",0,
2014,UK,UKI7,74.9,2019780,"86,370.02","63,469.96",:,"37,099",0,
2015,UK,UKI7,75.8,2040301,"98,852.57","70,517.95",:,"38,006",0,
2016,UK,UKI7,76.4,2058984,"91,161.96","84,750.84","645,460","38,364",0,
2017,UK,UKI7,76.4,2071842,"89,561.53","78,040.50",:,"39,412",0,
2007,UK,UKJ1,79.9,2178786,"107,775.73",:,"3,271,327",:,0,
2008,UK,UKJ1,79.4,2200859,"96,565.91","76,784.37","4,820,436",:,0,
2009,UK,UKJ1,79,2221257,"84,156.35","67,377.21","3,941,536",1,0,
2010,UK,UKJ1,76.5,2242650,"90,357.41","59,610.62","3,218,527",1,0,
2011,UK,UKJ1,74.5,2264895,"93,499.47","62,409.28","4,209,051",1,0,
2012,UK,UKJ1,74.1,2284847,"103,406.20","62,853.42","4,520,000",3,0,
2013,UK,UKJ1,74.8,2304318,"102,774.60","68,869.97","4,383,000",3,0,
2014,UK,UKJ1,74.9,2325301,"113,641.69","68,656.43",:,1,0,
2015,UK,UKJ1,75.8,2347205,"132,056.58","75,293.38",:,0,0,
2016,UK,UKJ1,76.4,2368548,"120,787.41","88,760.84","4,327,130",0,0,
2017,UK,UKJ1,76.4,2385514,"116,149.91","81,467.90",:,0,0,
2007,UK,UKJ2,79.9,2640736,"100,979.21",:,"7,879,729","17,566",0,
2008,UK,UKJ2,79.4,2665296,"90,953.89","88,953.64","6,323,016","17,086",0,
2009,UK,UKJ2,79,2686149,"78,605.50","77,766.46","7,238,701","16,204",0,
2010,UK,UKJ2,76.5,2709001,"84,463.88","68,299.37","5,508,311","15,631",0,
2011,UK,UKJ2,74.5,2733391,"85,077.53","73,012.64","4,828,039","16,785",0,
2012,UK,UKJ2,74.1,2755648,"95,167.19","73,358.35","6,845,000","17,027",0,
2013,UK,UKJ2,74.8,2778314,"95,024.32","80,955.28","6,345,000","17,655",0,
2014,UK,UKJ2,74.9,2802800,"103,956.22","81,309.02",:,"18,960",0,
2015,UK,UKJ2,75.8,2827820,"120,545.55","87,898.64",:,"20,001",0,
2016,UK,UKJ2,76.4,2852269,"108,948.73","103,221.46","6,050,860","21,422",0,
2017,UK,UKJ2,76.4,2871387,"105,005.79","92,711.14",:,"22,693",0,
2007,UK,UKJ3,79.9,1838375,"67,444.40",:,"6,372,391",977,0,
2008,UK,UKJ3,79.4,1850318,"59,826.87","51,799.81","6,366,280",971,0,
2009,UK,UKJ3,79,1862903,"52,639.47","45,666.79","8,603,398",890,0,
2010,UK,UKJ3,76.5,1877812,"57,173.50","40,723.08","5,228,489",861,0,
2011,UK,UKJ3,74.5,1894162,"58,318.60","42,920.05","4,675,239",879,0,
2012,UK,UKJ3,74.1,1908507,"64,317.48","42,911.59","7,085,000",843,0,
2013,UK,UKJ3,74.8,1920223,"63,917.73","46,904.11","6,351,000",857,0,
2014,UK,UKJ3,74.9,1932133,"70,059.84","46,426.02",:,913,0,
2015,UK,UKJ3,75.8,1946199,"79,359.29","50,500",:,888,0,
2016,UK,UKJ3,76.4,1961230,"71,060.84","58,548.89","6,166,800",971,0,
2017,UK,UKJ3,76.4,1973952,"68,937.07","53,033.79",:,"1,030",0,
2007,UK,UKJ4,79.9,1653445,"49,978.52",:,"3,184,081",9,0,
2008,UK,UKJ4,79.4,1672669,"45,336.09","46,117.31","2,367,547",6,0,
2009,UK,UKJ4,79,1688611,"38,561.44","40,328.70","3,198,508",3,0,
2010,UK,UKJ4,76.5,1705146,"41,747.83","36,039.43","2,504,783",12,0,
2011,UK,UKJ4,74.5,1723082,"42,607.81","38,087.63","2,696,479",19,0,
2012,UK,UKJ4,74.1,1739802,"46,749.76","38,194.16","3,637,000",4,0,
2013,UK,UKJ4,74.8,1756070,"46,261.75","41,802.78","3,150,000",21,0,
2014,UK,UKJ4,74.9,1773140,"50,923.80","41,636.40",:,7,0,
2015,UK,UKJ4,75.8,1790347,"59,030.90","45,410.34",:,1,0,
2016,UK,UKJ4,76.4,1807834,"54,306.02","53,185.48","2,327,800",0,0,
2017,UK,UKJ4,76.4,1824794,"53,086.82","47,393.46",:,:,0,
2007,UK,UKK1,79.9,2269956,"84,764.25",:,"6,236,094","2,938",0,
2008,UK,UKK1,79.4,2291124,"74,947.69","63,469.99","6,308,657","3,132",0,
2009,UK,UKK1,79,2307856,"66,628.76","55,804.36","6,759,157","2,820",0,
2010,UK,UKK1,76.5,2324183,"72,289.81","48,795.41","5,129,199","2,867",0,
2011,UK,UKK1,74.5,2342716,"72,871.79","51,986.32","5,943,446","2,894",0,
2012,UK,UKK1,74.1,2362209,"80,445.13","52,149.49","7,453,000","2,966",0,
2013,UK,UKK1,74.8,2382428,"79,565.94","56,465.80","7,463,000","3,069",0,
2014,UK,UKK1,74.9,2404752,"89,393.25","56,207.74",:,"3,171",0,
2015,UK,UKK1,75.8,2429519,"100,609.25","62,271.45",:,"3,386",0,
2016,UK,UKK1,76.4,2453872,"91,554.76","72,524.04","6,985,440","3,801",0,
2017,UK,UKK1,76.4,2474784,"88,078.90","65,383.83",:,"4,123",0,
2007,UK,UKK2,79.9,1237825,"36,138.87",:,"11,049,964",542,0,
2008,UK,UKK2,79.4,1248807,"32,332.96","31,717.53","10,530,631",541,1,
2009,UK,UKK2,79,1255012,"28,263.27","27,937.51","11,724,440",438,1,
2010,UK,UKK2,76.5,1261896,"29,736.85","23,940.80","8,299,978",378,1,
2011,UK,UKK2,74.5,1271821,"30,102.67","25,977.27","7,340,545",308,1,
2012,UK,UKK2,74.1,1280933,"33,047.06","26,030.26","9,961,000",347,1,
2013,UK,UKK2,74.8,1288448,"32,413.02","27,920.55","10,097,000",331,1,
2014,UK,UKK2,74.9,1295993,"36,025.85","27,604.35",:,331,1,
2015,UK,UKK2,75.8,1304470,"40,712.35","30,115.06",:,352,1,
2016,UK,UKK2,76.4,1313859,"37,319.91","34,742.27","9,640,710",332,1,
2017,UK,UKK2,76.4,1322286,"36,206.19","30,920.56",:,347,1,
2007,UK,UKK3,79.9,522278,"12,543.31",:,"10,616,957",176,0,
2008,UK,UKK3,79.4,525791,"11,373.92","11,122.02","9,597,431",212,0,
2009,UK,UKK3,79,527976,"9,617.87","9,706.70","11,505,879",:,0,
2010,UK,UKK3,76.5,530325,"10,249.26","8,615.95","8,318,178",:,0,
2011,UK,UKK3,74.5,534024,"10,382.23","9,210.62","8,015,719",:,0,
2012,UK,UKK3,74.1,538254,"11,596.40","9,202.88","11,731,000",:,0,
2013,UK,UKK3,74.8,542252,"11,453.38","9,927.11","13,153,000",:,0,
2014,UK,UKK3,74.9,546137,"12,343.14","9,615.60",:,:,0,
2015,UK,UKK3,75.8,550437,"14,204.71","10,501.06",:,:,0,
2016,UK,UKK3,76.4,555014,"13,267.54","12,005.42","11,739,700",:,0,
2017,UK,UKK3,76.4,560526,"12,769.36","10,925.21",:,:,0,
2007,UK,UKK4,79.9,1115165,"30,833.39",:,"10,998,159",504,0,
2008,UK,UKK4,79.4,1122091,"27,159.47","25,460.80","8,906,458",474,0,
2009,UK,UKK4,79,1125102,"23,466.66","22,647.83","10,193,016",393,0,
2010,UK,UKK4,76.5,1127629,"25,362.98","20,021.52","8,776,838",366,0,
2011,UK,UKK4,74.5,1132530,"25,509.71","21,054.62","8,205,270",353,0,
2012,UK,UKK4,74.1,1138922,"28,048.20","20,816.17","10,806,000",346,0,
2013,UK,UKK4,74.8,1145447,"28,060","22,379.70","10,216,000",368,0,
2014,UK,UKK4,74.9,1153568,"30,379.70","21,860.33",:,382,0,
2015,UK,UKK4,75.8,1162981,"34,909.75","23,877.56",:,409,0,
2016,UK,UKK4,76.4,1171558,"32,072.57","27,720.31","11,417,330",422,0,
2017,UK,UKK4,76.4,1180517,"30,783.16","24,750.08",:,453,0,
2007,UK,UKL1,79.9,1902611,"43,366.97",:,"10,669,803",:,0,
