freq;indic_de;geo\TIME_PERIOD,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;CNMIGRATRT;DE14,0.0 ,0.3 ,0.2 ,0.3 ,0.5 ,2.5 ,5.0 ,5.2 ,8.2 ,16.1 ,5.6 ,6.0 
A;CNMIGRATRT;DE21,9.1 ,7.1 ,4.5 ,2.2 ,7.8 ,10.9 ,11.4 ,11.3 ,10.0 ,14.2 ,8.0 ,2.1 
A;CNMIGRATRT;DE22,-0.7 ,2.0 ,-0.1 ,0.3 ,2.5 ,5.6 ,7.2 ,9.1 ,9.3 ,14.7 ,7.7 ,10.7 
A;CNMIGRATRT;DE23,0.3 ,0.8 ,-0.4 ,0.2 ,2.1 ,3.3 ,5.1 ,5.7 ,6.5 ,11.3 ,7.3 ,7.3 
A;CNMIGRATRT;DE24,-2.5 ,-1.6 ,-1.9 ,-1.2 ,-0.4 ,0.8 ,2.0 ,2.5 ,3.6 ,8.0 ,6.6 ,8.2 
A;CNMIGRATRT;DE25,2.1 ,2.3 ,0.8 ,0.7 ,2.9 ,7.4 ,8.0 ,7.1 ,6.0 ,15.4 ,7.2 ,6.6 
A;CNMIGRATRT;DE26,-1.0 ,-0.4 ,-3.3 ,-1.6 ,-0.3 ,0.3 ,1.8 ,3.1 ,2.8 ,8.2 ,4.1 ,5.2 
A;CNMIGRATRT;DE27,0.1 ,2.0 ,0.3 ,0.7 ,1.8 ,4.6 ,7.1 ,9.0 ,9.3 ,14.7 ,6.6 ,8.6 
A;CNMIGRATRT;DE30,3.2 ,3.5 ,4.5 ,3.1 ,4.9 ,13.9 ,14.0 ,13.1 ,12.5 ,13.3 ,13.5 ,9.1 
A;CNMIGRATRT;DE40,-1.3 ,-1.6 ,-2.1 ,-0.9 ,0.3 ,0.6 ,2.6 ,4.5 ,7.5 ,15.6 ,7.9 ,8.3 
A;CNMIGRATRT;DE50,3.3 ,1.2 ,0.9 ,3.1 ,1.4 ,4.2 ,6.8 ,7.3 ,8.7 ,16.4 ,11.6 ,4.7 
A;CNMIGRATRT;DE60,6.6 ,9.5 ,1.0 ,1.4 ,6.7 ,7.3 ,8.9 ,6.4 ,8.1 ,12.6 ,10.5 ,9.1 
A;CNMIGRATRT;DE71,-1.1 ,2.1 ,1.5 ,2.7 ,3.7 ,8.3 ,8.0 ,8.9 ,10.7 ,15.4 ,6.7 ,6.5 
A;CNMIGRATRT;DE72,-2.0 ,-1.9 ,-2.2 ,-1.6 ,-0.5 ,0.8 ,0.7 ,3.0 ,8.2 ,13.6 ,5.3 ,4.6 
A;CNMIGRATRT;DE73,-3.5 ,-1.7 ,-2.3 ,-1.4 ,-0.1 ,1.1 ,1.8 ,3.0 ,4.6 ,14.6 ,6.8 ,4.2 
A;CNMIGRATRT;DE80,-5.2 ,-5.5 ,-6.3 ,-4.7 ,-2.1 ,-1.2 ,-0.2 ,2.2 ,5.5 ,12.6 ,3.3 ,5.0 
A;CNMIGRATRT;DE91,-1.9 ,-1.9 ,-2.2 ,-0.2 ,-0.5 ,1.8 ,3.2 ,5.0 ,6.8 ,15.7 ,1.6 ,3.8 
