"TIME","GEO","TRA_MEAS","UNIT","Value","Flag and Footnotes"
"2007","UKC1","Passengers carried (arrival)","Thousand passengers","363",""
"2007","UKC2","Passengers carried (arrival)","Thousand passengers","2,810",""
"2007","UKD1","Passengers carried (arrival)","Thousand passengers",":",""
"2007","UKD3","Passengers carried (arrival)","Thousand passengers","10,970",""
"2007","UKD4","Passengers carried (arrival)","Thousand passengers","276",""
"2007","UKD7","Passengers carried (arrival)","Thousand passengers","2,732",""
"2007","UKE1","Passengers carried (arrival)","Thousand passengers","233",""
"2007","UKE3","Passengers carried (arrival)","Thousand passengers","531",""
"2007","UKE4","Passengers carried (arrival)","Thousand passengers","1,430",""
"2007","UKF2","Passengers carried (arrival)","Thousand passengers","2,708",""
"2007","UKF3","Passengers carried (arrival)","Thousand passengers",":",""
"2007","UKG1","Passengers carried (arrival)","Thousand passengers","298",""
"2007","UKG3","Passengers carried (arrival)","Thousand passengers","4,575",""
"2007","UKH1","Passengers carried (arrival)","Thousand passengers","350",""
"2007","UKH2","Passengers carried (arrival)","Thousand passengers","4,973",""
"2007","UKH3","Passengers carried (arrival)","Thousand passengers","11,952",""
"2007","UKI3","Passengers carried (arrival)","Thousand passengers",":",""
"2007","UKI4","Passengers carried (arrival)","Thousand passengers","1,467",""
"2007","UKI5","Passengers carried (arrival)","Thousand passengers",":",""
"2007","UKI6","Passengers carried (arrival)","Thousand passengers",":",""
"2007","UKI7","Passengers carried (arrival)","Thousand passengers","34,049",""
"2007","UKJ1","Passengers carried (arrival)","Thousand passengers",":",""
"2007","UKJ2","Passengers carried (arrival)","Thousand passengers","17,566",""
"2007","UKJ3","Passengers carried (arrival)","Thousand passengers","977",""
"2007","UKJ4","Passengers carried (arrival)","Thousand passengers","9",""
"2007","UKK1","Passengers carried (arrival)","Thousand passengers","2,938",""
"2007","UKK2","Passengers carried (arrival)","Thousand passengers","542",""
"2007","UKK3","Passengers carried (arrival)","Thousand passengers","176",""
"2007","UKK4","Passengers carried (arrival)","Thousand passengers","504",""
"2007","UKL1","Passengers carried (arrival)","Thousand passengers",":",""
"2007","UKL2","Passengers carried (arrival)","Thousand passengers","1,049",""
"2007","UKM5","Passengers carried (arrival)","Thousand passengers","1,707",""
"2007","UKM6","Passengers carried (arrival)","Thousand passengers","733",""
"2007","UKM7","Passengers carried (arrival)","Thousand passengers","4,560",""
